Bear ID,Time,Period,Treatment,PropDev,DistDev
F12 ,Post,day  ,control,0.064439118,82.46211243
M17 ,Post,day  ,AC     ,0.064439118,77.6208725
M17 ,Pre,day  ,AC     ,0.065234661,80.62257385
M28 ,Pre,night,AC     ,0.065234661,77.78174591
F04 ,Pre,night,AC     ,0.066030204,55.90169907
M21 ,Pre,day  ,control,0.068416893,49.2442894
F04 ,Pre,night,AC     ,0.070803523,52.20153427
F10 ,Pre,night,control,0.070803523,25.49509811
M21 ,Pre,day  ,control,0.070803523,67.26811981
M21 ,Pre,day  ,control,0.070803523,67.26811981
F04 ,Pre,night,AC     ,0.075576782,50.2493782
F04 ,Pre,night,AC     ,0.077963412,50.2493782
F05 ,Post,night,control,0.083532214,70
F10 ,Pre,day  ,control,0.08989656,5
F04 ,Pre,night,AC     ,0.091487646,50
F12 ,Pre,night,control,0.093874276,46.0977211
F10 ,Post,night,control,0.094669878,39.05124664
M28 ,Post,night,AC     ,0.098647594,70
F13 ,Pre,day  ,AC     ,0.101034224,42.42640686
M28 ,Pre,day  ,AC     ,0.104216397,50
M28 ,Pre,day  ,AC     ,0.104216397,50
F13 ,Post,day  ,AC     ,0.104216397,50
F13 ,Post,day  ,AC     ,0.104216397,50
F13 ,Post,day  ,AC     ,0.104216397,50
M28 ,Post,day  ,AC     ,0.104216397,50
M28 ,Post,day  ,AC     ,0.104216397,50
M28 ,Post,night,AC     ,0.104216397,67.08203888
F04 ,Pre,night,AC     ,0.109785199,40.31128693
F05 ,Pre,day  ,control,0.109785199,55.90169907
M28 ,Pre,day  ,AC     ,0.114558458,65
M28 ,Post,day  ,AC     ,0.114558458,65
M28 ,Post,day  ,AC     ,0.114558458,65
F05 ,Pre,night,control,0.115354002,55.22680664
M28 ,Pre,night,AC     ,0.120127261,63.63961029
F10 ,Post,day  ,control,0.141606987,60.4152298
F10 ,Post,day  ,control,0.141606987,60.4152298
F10 ,Post,day  ,control,0.141606987,60.4152298
M28 ,Post,day  ,AC     ,0.141606987,57.00876999
F12 ,Post,day  ,control,0.145584702,42.72002029
F13 ,Post,night,AC     ,0.147175789,60
F10 ,Pre,night,control,0.147971332,18.02775574
F04 ,Post,day  ,AC     ,0.147971332,55
F13 ,Post,day  ,AC     ,0.151153564,55.22680664
M17 ,Pre,night,AC     ,0.152744651,38.07886505
M17 ,Post,day  ,AC     ,0.154335737,46.0977211
F13 ,Pre,day  ,AC     ,0.155926824,60.20797348
F10 ,Post,night,control,0.156722367,44.72135925
F05 ,Post,night,control,0.15751791,44.72135925
F13 ,Post,day  ,AC     ,0.159108996,36.05551147
F05 ,Post,night,control,0.167859972,42.72002029
M28 ,Post,night,AC     ,0.168655515,61.03277969
F05 ,Post,night,control,0.172633231,40
F05 ,Post,night,control,0.175815463,35.35533905
